Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
47,Ayman Aiki,fr,FW,MF,Saint-Étienne,Ligue 1,19,2005,1.4,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,Matches
48,Ola Aina,ng,DF,,Nott'ham Forest,Premier League,28,1996,15.3,34,24,26,7,1,23,32,71.9,9,16,5,11,20,54,39,Matches
49,Rayan Aït-Nouri,dz,DF,,Wolves,Premier League,23,2001,15.2,40,25,28,9,3,19,30,63.3,11,20,4,16,13,53,38,Matches
50,Kristoffer Ajer,no,DF,,Brentford,Premier League,26,1998,7.2,7,6,6,1,0,3,9,33.3,6,8,1,7,6,13,19,Matches
51,Ludovic Ajorque,fr,FW,,Brest,Ligue 1,30,1994,10.8,11,8,1,5,5,4,12,33.3,8,5,2,3,3,14,8,Matches
52,Manuel Akanji,ch,DF,,Manchester City,Premier League,29,1995,11.2,12,10,5,4,3,5,10,50.0,5,6,4,2,5,17,31,Matches
53,Ümit Akdag,ro,DF,,Toulouse,Ligue 1,21,2003,2.5,4,2,1,3,0,3,6,50.0,3,5,4,1,10,14,8,Matches
54,Nathan Aké,nl,DF,,Manchester City,Premier League,29,1995,3.3,5,4,4,1,0,2,2,100.0,0,5,1,4,3,8,5,Matches
55,Ilias Akhomach,ma,MF,FW,Villarreal,La Liga,20,2004,6.5,12,7,4,4,4,6,12,50.0,6,8,0,8,3,15,13,Matches
56,Sergio Akieme,es,DF,,Reims,Ligue 1,27,1997,11.9,17,12,15,1,1,12,16,75.0,4,10,4,6,7,24,36,Matches
57,Maghnes Akliouche,fr,FW,MF,Monaco,Ligue 1,22,2002,10.6,22,12,8,6,8,8,21,38.1,13,8,0,8,8,30,3,Matches
58,Clément Akpa,ci,DF,,Auxerre,Ligue 1,23,2001,12.0,26,17,15,6,5,16,25,64.0,9,21,5,16,16,42,50,Matches
59,David Akpan Ankeye,ng,FW,MF,Genoa,it Serie A,22,2002,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,Matches
60,Kevin Akpoguma,ng,DF,,Hoffenheim,Bundesliga,29,1995,10.3,17,7,13,2,2,9,18,50.0,9,31,21,10,11,28,56,Matches
61,Andreas Albers,dk,FW,,St. Pauli,Bundesliga,34,1990,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,Matches
62,Raúl Albiol,es,DF,,Villarreal,La Liga,39,1985,12.2,8,7,7,1,0,4,8,50.0,4,10,9,1,6,14,65,Matches
63,Carlos Alcaraz,ar,MF,,Southampton,Premier League,22,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,Matches
64,Omar Alderete,py,DF,,Getafe,La Liga,27,1996,15.8,21,14,15,4,2,11,15,73.3,4,15,9,6,19,40,72,Matches
65,Carles Aleñá,es,MF,FW,Getafe,La Liga,26,1998,3.5,6,3,2,3,1,4,8,50.0,4,7,1,6,0,6,2,Matches
66,Trent Alexander-Arnold,eng,DF,,Liverpool,Premier League,26,1998,11.6,35,28,23,8,4,22,44,50.0,22,12,5,7,9,44,16,Matches
67,Alfon,es,FW,MF,Celta Vigo,La Liga,25,1999,3.3,2,0,0,2,0,0,2,0.0,2,2,0,2,2,4,2,Matches
68,Mohamed Ali Cho,fr,FW,MF,Nice,Ligue 1,20,2004,8.5,6,3,1,1,4,2,6,33.3,4,7,1,6,1,7,2,Matches
69,Faride Alidou,de,FW,MF,Hellas Verona,it Serie A,23,2001,0.8,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,Matches
70,Alisson,br,GK,,Liverpool,Premier League,32,1992,6.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,Matches
71,Tadeo Allende,ar,FW,,Celta Vigo,La Liga,25,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
72,Jim Allevinah,ga,FW,,Angers,Ligue 1,29,1995,8.3,7,5,3,2,2,2,13,15.4,11,2,0,2,4,11,8,Matches
73,Domingos André Ribeiro Almeida,pt,FW,MF,Valencia,La Liga,24,2000,5.7,15,9,6,6,3,6,10,60.0,4,7,1,6,3,18,2,Matches
74,Iker Almena,es,FW,DF,Girona,La Liga,20,2004,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,Matches
75,Miguel Almirón,py,FW,,Newcastle Utd,Premier League,30,1994,1.4,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,0,Matches
76,Pontus Almqvist,se,FW,MF,Parma,it Serie A,25,1999,4.7,7,5,4,2,1,3,5,60.0,2,4,0,4,6,13,2,Matches
77,Marcos Alonso,es,DF,,Celta Vigo,La Liga,33,1990,12.0,13,9,8,2,3,9,17,52.9,8,9,4,5,13,26,52,Matches
78,Giorgio Altare,it,DF,,Venezia,it Serie A,26,1998,5.4,7,6,5,1,1,2,9,22.2,7,9,4,5,10,17,25,Matches
79,Adrià Altimira,es,DF,FW,Leganés,La Liga,23,2001,7.6,17,7,9,6,2,9,16,56.3,7,7,4,3,12,29,24,Matches
80,Sergi Altimira,es,MF,,Betis,La Liga,23,2001,11.1,30,20,8,18,4,17,31,54.8,14,17,1,16,6,36,14,Matches
81,Edson Álvarez,mx,MF,,West Ham,Premier League,27,1997,7.8,18,10,9,5,4,9,13,69.2,4,11,4,7,10,28,15,Matches
82,Hugo Álvarez,es,MF,DF,Celta Vigo,La Liga,21,2003,13.3,23,9,11,10,2,9,16,56.3,7,17,1,16,7,30,21,Matches
83,Julián Álvarez,ar,FW,MF,Atlético Madrid,La Liga,24,2000,11.3,5,2,1,0,4,1,9,11.1,8,7,0,7,0,5,5,Matches
84,Yeray Álvarez,es,DF,,Athletic Club,La Liga,29,1995,9.0,10,7,6,3,1,4,7,57.1,3,6,3,3,18,28,32,Matches
85,Skelly Alvero,fr,MF,,Werder Bremen,Bundesliga,22,2002,1.2,4,3,3,0,1,1,1,100.0,0,4,0,4,2,6,5,Matches
86,Selim Amallah,ma,MF,FW,Valladolid,La Liga,28,1996,7.5,12,7,4,7,1,0,6,0.0,6,12,0,12,7,19,2,Matches
87,Amath,sn,FW,DF,Valladolid,La Liga,28,1996,3.3,1,0,1,0,0,1,5,20.0,4,5,1,4,2,3,2,Matches
88,Jordan Amavi,fr,DF,,Brest,Ligue 1,30,1994,8.3,24,17,10,11,3,15,21,71.4,6,8,2,6,7,31,16,Matches
89,Aurele Amenda,ch,DF,,Eint Frankfurt,Bundesliga,21,2003,0.8,0,0,0,0,0,0,0,,0,2,2,0,1,1,4,Matches
90,Kelvin Amian,fr,DF,MF,Nantes,Ligue 1,26,1998,9.9,26,15,23,3,0,13,16,81.3,3,8,4,4,2,28,23,Matches
91,Michael Amir Murillo,pa,DF,,Marseille,Ligue 1,28,1996,12.8,26,15,16,6,4,14,24,58.3,10,7,3,4,10,36,36,Matches
92,Nadiem Amiri,de,MF,,Mainz 05,Bundesliga,28,1996,12.1,18,9,8,8,2,4,20,20.0,16,12,2,10,12,30,15,Matches
93,Samuel Amo-Ameyaw,eng,FW,DF,Southampton,Premier League,18,2006,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,Matches
94,Mathis Amougou,fr,MF,,Saint-Étienne,Ligue 1,18,2006,8.0,14,9,10,4,0,7,13,53.8,6,6,0,6,12,26,4,Matches
95,Mohamed Amoura,dz,FW,,Wolfsburg,Bundesliga,24,2000,10.7,8,5,2,1,5,3,13,23.1,10,16,0,16,4,12,6,Matches
96,Sofyan Amrabat,ma,MF,,Fiorentina,it Serie A,28,1996,2.0,3,2,1,2,0,2,2,100.0,0,1,1,0,0,3,2,Matches
97,Joachim Andersen,dk,DF,,Crystal Palace,Premier League,28,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,Matches
98,Joachim Andersen,dk,DF,,Fulham,Premier League,28,1996,7.7,8,5,8,0,0,4,8,50.0,4,9,6,3,11,19,42,Matches
99,Elliot Anderson,eng,MF,FW,Nott'ham Forest,Premier League,22,2002,10.1,36,26,19,11,6,16,30,53.3,14,20,4,16,9,45,19,Matches
100,André,br,MF,,Wolves,Premier League,23,2001,8.1,30,22,14,11,5,15,21,71.4,6,21,5,16,6,36,11,Matches
101,Benjamin André,fr,MF,,Lille,Ligue 1,34,1990,12.9,36,14,14,19,3,23,41,56.1,18,18,3,15,18,54,25,Matches
102,Marcos André,br,FW,,Valladolid,La Liga,28,1996,4.8,3,3,0,2,1,0,3,0.0,3,6,1,5,2,5,3,Matches
103,Robert Andrich,de,MF,,Leverkusen,Bundesliga,30,1994,9.3,15,7,5,10,0,4,9,44.4,5,6,3,3,15,30,11,Matches
104,Angeliño,es,DF,,Roma,it Serie A,27,1997,15.0,26,10,10,14,2,9,13,69.2,4,17,6,11,11,37,37,Matches
105,Lorenzo Anghelè,it,FW,,Juventus,it Serie A,19,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
106,Faustino Anjorin,eng,MF,,Empoli,it Serie A,23,2001,7.4,15,6,3,8,4,1,9,11.1,8,11,3,8,7,22,14,Matches
107,Waldemar Anton,de,DF,,Dortmund,Bundesliga,28,1996,8.7,15,12,7,5,3,7,9,77.8,2,17,10,7,7,22,31,Matches
108,Michail Antonio,jm,FW,,West Ham,Premier League,34,1990,9.3,2,2,0,1,1,2,3,66.7,1,6,0,6,0,2,2,Matches
109,Antoniu,es,MF,DF,Espanyol,La Liga,22,2002,1.5,6,3,1,2,3,2,3,66.7,1,2,0,2,1,7,2,Matches
110,Antony,br,FW,MF,Manchester Utd,Premier League,24,2000,0.6,2,0,2,0,0,1,3,33.3,2,1,0,1,2,4,0,Matches
111,Anuar,ma,FW,MF,Valladolid,La Liga,29,1995,5.7,10,7,6,2,2,2,9,22.2,7,7,2,5,6,16,6,Matches
112,Dennis Appiah,fr,DF,,Saint-Étienne,Ligue 1,32,1992,11.3,29,21,15,12,2,16,32,50.0,16,13,5,8,10,39,34,Matches
113,Aritz Arambarri,es,DF,,Leganés,La Liga,26,1998,2.0,1,1,1,0,0,1,1,100.0,0,2,2,0,3,4,8,Matches
114,Mauro Arambarri,uy,MF,,Getafe,La Liga,29,1995,11.7,14,6,1,9,4,7,16,43.8,9,11,1,10,4,18,16,Matches
115,Jon Aramburu,ve,DF,,Real Sociedad,La Liga,22,2002,12.3,50,37,29,16,5,34,54,63.0,20,19,3,16,17,67,43,Matches
116,Julian Araujo,mx,DF,,Bournemouth,Premier League,23,2001,3.9,7,3,3,4,0,4,10,40.0,6,3,0,3,4,11,13,Matches
117,Cameron Archer,eng,FW,,Southampton,Premier League,23,2001,9.5,8,5,4,2,2,1,4,25.0,3,5,1,4,2,10,3,Matches
118,Carlens Arcus,ht,DF,,Angers,Ligue 1,28,1996,13.0,34,21,22,11,1,23,38,60.5,15,14,2,12,18,52,45,Matches
119,Alphonse Areola,fr,GK,,West Ham,Premier League,31,1993,7.5,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,5,Matches
120,Adu Ares,es,FW,,Athletic Club,La Liga,23,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,Matches
121,Jesús Areso,es,DF,,Osasuna,La Liga,25,1999,15.7,26,19,18,5,3,21,31,67.7,10,17,3,14,6,32,47,Matches
122,David Argüelles,es,MF,,Getafe,La Liga,22,2002,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,Matches
123,Joe Aribo,ng,MF,,Southampton,Premier League,28,1996,10.0,18,12,6,7,5,7,16,43.8,9,10,5,5,9,27,14,Matches
124,Adam Armstrong,eng,FW,MF,Southampton,Premier League,27,1997,9.5,9,2,1,5,3,3,12,25.0,9,4,1,3,3,12,5,Matches
125,Harrison Armstrong,eng,MF,,Everton,Premier League,17,2007,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,Matches
126,José Arnaiz,es,FW,,Osasuna,La Liga,29,1995,0.4,2,2,1,1,0,1,2,50.0,1,0,0,0,1,3,1,Matches
127,Hákon Arnar Haraldsson,is,MF,,Lille,Ligue 1,21,2003,3.8,12,5,3,7,2,5,9,55.6,4,2,1,1,3,15,0,Matches
128,Marko Arnautović,at,FW,,Inter,it Serie A,35,1989,0.8,4,3,1,2,1,2,3,66.7,1,0,0,0,1,5,1,Matches
129,Maximilian Arnold,de,MF,,Wolfsburg,Bundesliga,30,1994,12.4,19,11,6,11,2,10,18,55.6,8,12,7,5,10,29,30,Matches
130,Jann-Fiete Arp,de,FW,,Holstein Kiel,Bundesliga,24,2000,3.8,5,4,3,1,1,1,5,20.0,4,2,0,2,0,5,1,Matches
131,Kepa Arrizabalaga,es,GK,,Bournemouth,Premier League,30,1994,11.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,Matches
132,Arthur,br,DF,,Leverkusen,Bundesliga,21,2003,2.2,5,3,2,2,1,1,4,25.0,3,2,0,2,3,8,8,Matches
133,Takuma Asano,jp,FW,,Mallorca,La Liga,30,1994,3.6,5,3,1,3,1,2,3,66.7,1,3,0,3,2,7,4,Matches
134,Raúl Asencio,es,DF,,Real Madrid,La Liga,21,2003,3.8,6,4,6,0,0,1,2,50.0,1,0,0,0,3,9,23,Matches
135,Marco Asensio,es,FW,MF,Paris S-G,Ligue 1,28,1996,6.8,4,3,1,3,0,0,6,0.0,6,1,0,1,0,4,1,Matches
136,Kristjan Asllani,al,MF,,Inter,it Serie A,22,2002,3.1,5,0,4,1,0,2,8,25.0,6,6,1,5,2,7,7,Matches
137,Iago Aspas,es,FW,MF,Celta Vigo,La Liga,37,1987,13.4,11,7,4,4,3,8,16,50.0,8,13,1,12,6,17,4,Matches
138,Yaser Asprilla,co,FW,MF,Girona,La Liga,21,2003,6.4,10,5,4,4,2,4,9,44.4,5,3,0,3,3,13,4,Matches
139,Lorenz Assignon,tg,DF,MF,Rennes,Ligue 1,24,2000,9.5,18,11,9,8,1,8,21,38.1,13,10,3,7,12,30,38,Matches
140,Dehmaine Assoumani,fr,MF,FW,Nantes,Ligue 1,19,2005,0.4,5,2,0,3,2,3,3,100.0,0,0,0,0,1,6,1,Matches
141,Valentin Atangana Edoa,fr,MF,,Reims,Ligue 1,19,2005,13.7,31,23,15,13,3,12,16,75.0,4,12,4,8,17,48,24,Matches
142,Arthur Atta,fr,MF,,Udinese,it Serie A,21,2003,1.4,4,2,1,2,1,2,3,66.7,1,1,1,0,0,4,0,Matches
143,Noah Atubolu,de,GK,,Freiburg,Bundesliga,22,2002,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,Matches
144,Emil Audero,it,GK,,Como,it Serie A,27,1997,8.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,Matches
145,Tommaso Augello,it,DF,,Cagliari,it Serie A,30,1994,12.7,22,12,12,7,3,13,20,65.0,7,12,4,8,11,33,47,Matches
146,Carlos Augusto,br,DF,,Inter,it Serie A,25,1999,3.2,4,3,2,1,1,2,4,50.0,2,2,2,0,2,6,8,Matches
147,Yann Aurel Bisseck,de,DF,,Inter,it Serie A,24,2000,6.8,5,3,4,1,0,3,4,75.0,1,6,2,4,5,10,21,Matches
148,Ezequiel Ávila,ar,FW,,Betis,La Liga,30,1994,6.4,7,3,1,2,4,3,8,37.5,5,4,0,4,1,8,5,Matches
149,Taiwo Awoniyi,ng,FW,,Nott'ham Forest,Premier League,27,1997,2.3,2,1,0,1,1,1,1,100.0,0,1,0,1,0,2,3,Matches
150,Yasin Ayari,se,MF,,Brighton,Premier League,21,2003,8.9,32,15,5,21,6,14,26,53.8,12,8,2,6,8,40,10,Matches
151,Florian Ayé,fr,FW,,Auxerre,Ligue 1,27,1997,3.5,2,2,0,0,2,0,1,0.0,1,3,0,3,3,5,5,Matches
152,André Ayew,gh,FW,,Le Havre,Ligue 1,35,1989,5.6,6,4,1,3,2,3,5,60.0,2,2,1,1,1,7,4,Matches
153,Jordan Ayew,gh,FW,MF,Crystal Palace,Premier League,33,1991,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,Matches
154,Jordan Ayew,gh,FW,MF,Leicester City,Premier League,33,1991,7.3,11,5,3,6,2,2,8,25.0,6,6,0,6,7,18,3,Matches
155,Neil El Aynaoui,fr,MF,,Lens,Ligue 1,23,2001,3.2,11,8,9,2,0,4,14,28.6,10,7,3,4,2,13,5,Matches
156,Ayman Azhil,ma,MF,,Dortmund,Bundesliga,23,2001,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,Matches
157,Adam Aznou,ma,DF,,Bayern Munich,Bundesliga,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
158,César Azpilicueta,es,DF,,Atlético Madrid,La Liga,35,1989,5.3,12,5,6,4,2,10,14,71.4,4,2,1,1,2,14,14,Matches
159,Paulo Azzi,br,DF,,Cagliari,it Serie A,30,1994,4.7,11,9,3,6,2,5,9,55.6,4,5,2,3,5,16,11,Matches
160,Papa Ba,es,MF,,Girona,La Liga,20,2004,0.5,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,Matches
161,Shavy Babicka,ga,MF,FW,Toulouse,Ligue 1,24,2000,5.6,12,9,3,5,4,7,11,63.6,4,9,0,9,1,13,3,Matches
162,Aliou Badara Baldé,gn,MF,FW,Bochum,Bundesliga,22,2002,1.0,1,1,1,0,0,0,0,,0,2,0,2,0,1,0,Matches
163,Loïc Bade,fr,DF,,Sevilla,La Liga,24,2000,12.2,26,15,19,7,0,11,15,73.3,4,11,7,4,13,39,59,Matches
164,Milan Badelj,hr,MF,,Genoa,it Serie A,35,1989,11.0,20,10,10,5,5,9,23,39.1,14,14,6,8,14,34,30,Matches
165,Benoît Badiashile,fr,DF,,Chelsea,Premier League,23,2001,2.8,6,4,3,3,0,2,2,100.0,0,2,2,0,6,12,6,Matches
166,Alex Baena,es,MF,FW,Villarreal,La Liga,23,2001,13.2,9,4,2,5,2,2,11,18.2,9,18,2,16,14,23,9,Matches
167,Leon Bailey,jm,FW,MF,Aston Villa,Premier League,27,1997,8.1,3,1,0,1,2,0,3,0.0,3,6,0,6,2,5,7,Matches
168,Eric Bailly,ci,DF,,Villarreal,La Liga,30,1994,6.4,11,3,5,6,0,2,3,66.7,1,11,6,5,6,17,24,Matches
169,Theo Bair,ca,FW,,Auxerre,Ligue 1,25,1999,4.6,2,1,0,1,1,0,0,,0,5,2,3,0,2,5,Matches
170,Cédric Bakambu,cd,FW,,Betis,La Liga,33,1991,3.0,1,0,0,1,0,0,1,0.0,1,4,0,4,0,1,1,Matches
171,Mitchel Bakker,nl,MF,,Atalanta,it Serie A,24,2000,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,Matches
172,Mitchel Bakker,nl,DF,FW,Lille,Ligue 1,24,2000,4.3,14,11,5,6,3,6,11,54.5,5,3,0,3,7,21,9,Matches
173,Ridle Baku,de,FW,MF,Wolfsburg,Bundesliga,26,1998,12.0,20,13,7,8,5,5,15,33.3,10,22,1,21,15,35,14,Matches
174,Dilane Bakwa,fr,FW,MF,Strasbourg,Ligue 1,22,2002,14.5,13,9,7,3,3,6,14,42.9,8,13,0,13,6,19,16,Matches
175,Tommaso Baldanzi,it,MF,FW,Roma,it Serie A,21,2003,4.3,6,1,3,1,2,1,4,25.0,3,2,0,2,4,10,2,Matches
176,Alejandro Balde,es,DF,,Barcelona,La Liga,21,2003,13.3,8,4,4,3,1,4,7,57.1,3,10,4,6,5,13,12,Matches
177,Carlos Baleba,cm,MF,,Brighton,Premier League,20,2004,10.0,27,15,5,14,8,16,27,59.3,11,16,3,13,22,49,6,Matches
178,Leonardo Balerdi,ar,DF,,Marseille,Ligue 1,25,1999,11.0,18,14,13,4,1,11,20,55.0,9,16,10,6,14,32,32,Matches
179,Iván Balliu,al,DF,,Rayo Vallecano,La Liga,32,1992,7.0,10,8,2,5,3,3,10,30.0,7,4,1,3,6,16,19,Matches
180,Botond Balogh,hu,DF,,Parma,it Serie A,22,2002,13.8,23,9,16,7,0,12,16,75.0,4,26,20,6,17,40,83,Matches
181,Folarin Balogun,us,FW,,Monaco,Ligue 1,23,2001,5.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,Matches
182,Mario Balotelli,it,FW,MF,Genoa,it Serie A,34,1990,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,Matches
183,Abdoulaye Bamba,ci,DF,,Angers,Ligue 1,34,1990,6.8,12,6,10,2,0,7,9,77.8,2,5,3,2,7,19,31,Matches
184,Jonathan Bamba,ci,FW,MF,Celta Vigo,La Liga,28,1996,8.3,10,5,3,5,2,4,10,40.0,6,6,0,6,5,15,6,Matches
